"sigma","ea","er","p","lowerCI","upperCI","Day","truncationDist"
111.375963303816,75868.9602973323,155.402188263635,0.26833155685696,0.161102594881931,0.389920344903586,158,300
107.405798630011,71016.8868011755,150.350846870942,0.251170857275659,0.160578737876556,0.383315813464509,159,300
103.577156481081,66391.0948526642,145.371736751574,0.234810464957431,0.15631633570313,0.331832394030703,160,300
99.8849920725665,61998.202027478,140.480036414311,0.219273784788513,0.118934824963325,0.300509948109956,161,300
96.3244404489812,57841.5037030051,135.689065367858,0.204572471782254,0.128890813601116,0.293923127347324,162,300
92.890810073535,53921.1504846197,131.010057910293,0.190707058596204,0.12162915585161,0.285731672809054,163,300
89.5795766463631,50234.4331602057,126.452033205213,0.177667963352581,0.117637036766843,0.252334647085605,164,300
86.3863771431127,46776.1536239463,122.021769107622,0.165436801512821,0.101972972947104,0.262277613480102,165,300
83.3070040660332,43539.0543149922,117.723877881911,0.153987904706167,0.0959759318157844,0.222751282019422,166,300
80.3373998999954,40514.2756242499,113.560972445527,0.143289938475263,0.0919800979812203,0.20839409960499,167,300
77.4736517661342,37691.810865755,109.533903549264,0.133307511408216,0.0844842618088726,0.198574353023505,168,300
74.7119862660701,35060.9317353075,105.642042720516,0.124002679890704,0.072011280280856,0.182379068750665,169,300
72.048764509916,32610.5631287054,101.883583750708,0.115336273754306,0.0653148916713591,0.169674037414101,170,300
69.4804773215191,30329.5937873826,98.2558372131771,0.107268994960693,0.0577114974281048,0.156500402133954,171,300
67.0037406146183,28207.1172733841,94.755497407083,0.0997622698762635,0.0532839498829967,0.147738279144254,172,300
64.615290933826,26232.6050588791,91.3788680746054,0.0927788614510683,0.0475725079389574,0.142980129340811,173,300
62.3119811545577,24396.0191175294,88.1220407652839,0.0862832674293151,0.0364746983278529,0.116663644732365,174,300
60.0907763362454,22687.8748246301,84.9810264304927,0.0802419428131122,0.0438030973010465,0.132543082697824,175,300
57.9487497233677,21099.2661892602,81.951845734339,0.0746233891029434,0.0343378242197927,0.121211867543548,176,300
55.8830788890307,19621.8648405837,79.0305862569671,0.0693981507124436,0.0329769172954556,0.108147729452976,177,300
53.8910420160166,18247.9023985251,76.2134354006396,0.0645387526174162,0.0284799668313581,0.118645404617632,178,300
51.9700143103986,16970.1435472308,73.4966969396696,0.0600196051226849,0.0244315013914857,0.10918867242071,179,300
50.117464543,15781.8548504071,70.8767974812788,0.0558168935689134,0.023536587067264,0.0990343031928397,180,300
48.3309517141366,14676.7724468444,68.3502872495824,0.0519084640788936,0.0258915463055595,0.1106694526322,181,300
