Site_ID,distance,Sex,firstDet
2045,150,Male,Singing
3062,61,Male,Singing
3062,61,Male,Singing
3062,61,Male,Singing
2053,61,Male,Singing
2053,150,Male,Singing
2059,61,Male,Singing
3091,150,Male,Singing
3003,150,Male,Singing
3003,61,Male,Singing
3069,61,Male,Singing
2075,150,Male,Singing
2062,150,Male,Singing
2041,61,Male,Singing
2041,61,Male,Singing
2041,12.5,Male,Singing
3022,61,Male,Singing
3017,61,Male,Singing
3017,61,Male,Singing
3017,150,Male,Singing
3071,61,Male,Singing
3071,150,Male,Singing
3071,61,Male,Singing
2085,150,Male,Singing
2103,61,Male,Singing
2109,61,Male,Singing
3081,150,Male,Singing
3038,250,Male,Singing
3057,150,Male,Singing
3045,150,Male,Singing
3045,150,Male,Singing
