"yDist.1";"yDist.2";"yDist.3";"yDist.4"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"1"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"1";"0"
"0";"2";"0";"0"
"1";"0";"0";"0"
"0";"1";"1";"0"
"0";"0";"1";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"1";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"1";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"1";"0";"0";"0"
"0";"0";"0";"0"
"0";"1";"2";"0"
"0";"0";"0";"0"
"1";"1";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"1";"2";"0"
"0";"0";"1";"0"
"0";"1";"1";"0"
"0";"0";"1";"0"
"0";"2";"0";"0"
"0";"1";"2";"0"
"1";"0";"0";"0"
"0";"1";"0";"0"
"0";"1";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"2";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"1";"1";"0"
"0";"1";"0";"1"
"0";"1";"1";"0"
"0";"1";"1";"0"
"0";"0";"1";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"1";"0"
"0";"1";"1";"0"
"0";"0";"0";"0"
"0";"1";"0";"0"
"0";"1";"0";"0"
"0";"0";"0";"0"
"0";"0";"3";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"1";"0"
"0";"0";"0";"0"
"0";"1";"1";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"0";"0"
"0";"0";"1";"1"
"0";"0";"0";"0"
"1";"0";"0";"0"
"0";"0";"0";"0"
"0";"1";"0";"0"
